PV,MV,BO,TP,TP_O
1,1,1,518,450
1,1,1,530,450
1,1,1,504,450
1,1,1,515,450
1,1,1,509,450
1,1,1,509,450
1,1,1,505,450
1,1,1,530,450
1,1,1,515,450
1,1,1,523,450
1,1,1,520,450
1,1,1,528,450
1,1,1,501,450
1,1,1,518,450
1,1,1,521,450
1,1,1,492,450
1,1,1,506,450
1,1,1,493,450
1,1,1,507,450
1,1,1,513,450
1,1,1,507,450
1,1,1,497,450
1,1,1,507,450
1,1,1,495,450
1,1,1,460,450
1,1,1,509,450
1,1,1,516,450
1,1,1,530,450
1,1,1,511,450
1,1,1,524,450
1,1,1,525,450
1,1,1,531,450
1,1,1,532,450
1,1,1,522,450
1,1,1,543,450
1,1,1,523,450
1,1,1,540,450
1,1,1,528,450
1,1,1,532,450
1,1,1,545,450
1,1,1,519,450
1,1,1,542,450
1,1,1,521,450
1,1,1,538,450
1,1,1,555,450
1,1,1,515,450
1,1,1,500,450
1,1,1,528,450
1,1,1,524,450
1,1,1,522,450
1,1,1,519,450
1,1,1,530,450
1,1,1,508,450
1,1,1,514,450
1,1,1,510,450
1,1,1,510,450
1,1,1,506,450
1,1,1,527,450
1,1,1,532,450
1,1,1,509,450
1,1,1,509,450
1,1,1,501,450
1,1,1,528,450
1,1,1,519,450
1,1,1,524,450
1,1,1,513,450
1,1,1,484,450
1,1,1,518,450
1,1,1,486,450
1,1,1,482,450
1,1,1,502,450
1,1,1,521,450
1,1,1,527,450
1,1,1,505,450
1,1,1,532,450
1,1,1,532,450
1,1,1,506,450
1,1,1,513,450
1,1,1,533,450
1,1,1,507,450
1,1,1,509,450
1,1,1,526,450
1,1,1,519,450
1,1,1,502,450
1,1,1,527,450
1,1,1,525,450
1,1,1,503,450
1,1,1,521,450
1,1,1,533,450
1,1,1,503,450
1,1,1,488,450
1,1,1,520,450
1,1,1,487,450
1,1,1,516,450
1,1,1,433,450
1,1,1,529,450
1,1,1,505,450
1,1,1,521,450
1,1,1,533,450
1,1,1,514,450
1,1,1,512,450
1,1,1,532,450
1,1,1,510,450
1,1,1,507,450
1,1,1,519,450
1,1,1,520,450
1,1,1,501,450
1,1,1,527,450
1,1,1,525,450
1,1,1,525,450
1,1,1,522,450
1,1,1,533,450
1,1,1,508,450
1,1,1,514,450
1,1,1,534,450
1,1,1,505,450
1,1,1,505,450
1,1,1,502,450
1,1,1,506,450
1,1,1,506,450
1,1,1,526,450
1,1,1,533,450
1,1,1,504,450
1,1,1,519,450
1,1,1,507,450
1,1,1,508,450
1,1,1,513,450
1,1,1,534,450
1,1,1,511,450
1,1,1,532,450
1,1,1,530,450
1,1,1,526,450
1,1,1,501,450
1,1,1,526,450
1,1,1,506,450
1,1,1,504,450
1,1,1,521,450
1,1,1,532,450
1,1,1,508,450
1,1,1,529,450
1,1,1,516,450
1,1,1,490,450
1,1,1,521,450
1,1,1,486,450
1,1,1,480,450
1,1,1,502,450
1,1,1,526,450
1,1,1,529,450
1,1,1,506,450
1,1,1,534,450
1,1,1,536,450
1,1,1,510,450
1,1,1,519,450
1,1,1,533,450
1,1,1,508,450
1,1,1,511,450
1,1,1,531,450
1,1,1,518,450
1,1,1,511,450
1,1,1,497,450
1,1,1,545,450
1,1,1,519,450
1,1,1,540,450
1,1,1,527,450
1,1,1,520,450
1,1,1,544,450
1,1,1,519,450
1,1,1,535,450
1,1,1,533,450
1,1,1,523,450
1,1,1,509,450
1,1,1,532,450
1,1,1,521,450
1,1,1,503,450
1,1,1,530,450
1,1,1,527,450
1,1,1,505,450
1,1,1,523,450
1,1,1,535,450
1,1,1,518,450
1,1,1,516,450
1,1,1,533,450
1,1,1,514,450
1,1,1,513,450
1,1,1,519,450
1,1,1,519,450
1,1,1,505,450
1,1,1,529,450
1,1,1,528,450
1,1,1,510,450
1,1,1,500,450
1,1,1,520,450
1,1,1,499,450
1,1,1,515,450
1,1,1,497,450
1,1,1,515,450
1,1,1,500,450
1,1,1,516,450
1,1,1,499,450
1,1,1,511,450
1,1,1,497,450
1,1,1,522,450
1,1,1,500,450
1,1,1,515,450
1,1,1,445,450
1,1,1,524,450
1,1,1,503,450
1,1,1,528,450
1,1,1,530,450
1,1,1,514,450
1,1,1,534,450
1,1,1,517,450
1,1,1,545,450
1,1,1,516,450
1,1,1,535,450
1,1,1,525,450
1,1,1,529,450
1,1,1,539,450
1,1,1,520,450
1,1,1,524,450
1,1,1,529,450
1,1,1,529,450
1,1,1,505,450
1,1,1,526,450
1,1,1,508,450
1,1,1,508,450
1,1,1,519,450
1,1,1,536,450
1,1,1,511,450
1,1,1,535,450
1,1,1,537,450
1,1,1,524,450
1,1,1,507,450
1,1,1,532,450
