PV,MV,BO,TP,MO,TP_O
1,0,1,567,659,550
1,0,1,535,664,550
1,0,1,531,664,550
1,0,1,530,671,550
1,0,1,582,670,550
1,0,1,568,674,550
1,0,1,536,680,550
1,0,1,565,680,550
1,0,0,722,688,550
1,0,0,995,683,550
1,0,0,979,680,550
1,0,0,980,679,550
1,0,1,933,674,550
1,0,1,525,685,550
1,0,1,538,688,550
1,0,1,555,698,550
1,0,1,593,695,550
1,0,1,573,702,550
1,0,1,590,702,550
1,0,1,545,707,550
1,0,1,555,715,550
1,0,1,595,712,550
1,0,1,574,719,550
1,0,1,593,719,550
1,0,1,542,725,550
1,0,1,589,725,550
1,0,1,561,729,550
1,0,1,593,743,550
1,0,0,687,739,550
1,0,0,997,734,550
1,0,0,986,731,550
1,0,0,981,730,550
1,0,1,980,731,550
1,0,1,553,735,550
1,0,1,598,738,550
1,0,1,537,744,550
1,0,1,569,762,550
1,0,1,531,751,550
1,0,1,557,758,550
1,0,1,599,757,550
1,0,1,528,763,550
1,0,1,603,764,550
1,0,1,582,771,550
1,0,1,603,770,550
1,0,1,551,775,550
1,0,1,562,782,550
1,0,1,531,783,550
1,0,0,729,787,550
1,0,0,980,781,550
1,0,0,975,781,550
1,0,0,966,780,550
1,0,0,970,778,550
1,0,0,962,778,550
1,0,0,969,777,550
1,0,0,958,778,550
1,0,0,965,778,550
1,0,0,958,778,550
1,0,0,962,778,550
1,0,0,957,778,550
1,0,1,961,777,550
1,0,1,583,783,550
1,0,1,526,788,550
1,0,1,585,923,550
1,0,1,586,795,550
1,0,1,600,870,550
1,0,1,597,801,550
1,0,1,532,806,550
1,0,1,588,940,550
1,0,0,685,815,550
1,0,0,987,809,550
1,0,0,978,807,550
1,0,0,977,807,550
1,0,1,981,805,550
1,0,1,557,810,550
1,0,1,558,818,550
1,0,1,604,816,550
1,0,1,554,823,550
1,0,1,607,831,550
1,0,1,576,829,550
1,0,1,559,836,550
1,0,1,610,834,550
1,0,1,557,838,550
1,0,1,607,914,550
1,0,1,569,843,550
1,0,1,561,850,550
1,0,1,610,848,550
1,0,1,557,853,550
1,0,1,607,914,550
1,0,0,706,862,550
1,0,0,999,856,550
1,0,0,983,854,550
1,0,0,979,853,550
1,0,1,978,853,550
1,0,1,523,859,550
1,0,1,589,967,550
1,0,1,607,865,550
1,0,1,539,871,550
1,0,1,574,871,550
1,0,1,535,877,550
1,0,1,595,983,550
1,0,1,610,881,550
1,0,1,539,886,550
1,0,1,568,886,550
1,0,1,497,888,550
1,0,1,533,995,550
1,0,1,535,892,550
1,0,1,511,896,550
1,0,1,506,896,550
1,0,0,700,903,550
1,0,0,994,900,550
1,0,0,988,897,550
1,0,0,982,898,550
1,0,1,914,892,550
1,0,1,514,903,550
1,0,1,542,901,550
1,0,1,501,906,550
1,0,1,545,908,550
1,0,1,518,911,550
1,0,1,533,1001,550
1,0,1,527,915,550
1,0,1,521,922,550
1,0,1,549,921,550
1,0,1,523,924,550
1,0,1,545,925,550
1,0,1,500,929,550
1,0,1,536,1034,550
1,0,1,526,933,550
1,0,1,546,942,550
1,0,0,666,943,550
1,0,0,991,939,550
1,0,0,980,937,550
1,0,0,981,935,550
1,0,1,979,936,550
1,0,1,486,937,550
1,0,1,537,1060,550
1,0,1,519,944,550
1,0,1,530,952,550
1,0,1,498,950,550
1,0,1,508,954,550
1,0,1,550,954,550
1,0,1,509,960,550
1,0,1,552,960,550
1,0,1,520,964,550
1,0,1,547,964,550
1,0,1,518,969,550
1,0,1,527,975,550
1,0,1,547,973,550
1,0,1,545,979,550
1,0,0,679,981,550
1,0,0,993,979,550
1,0,0,981,976,550
1,0,0,978,976,550
1,0,1,980,975,550
1,0,1,500,976,550
1,0,1,529,996,550
1,0,1,551,982,550
1,0,1,511,986,550
1,0,1,521,987,550
1,0,1,503,992,550
1,0,1,546,1116,550
1,0,1,523,995,550
1,0,1,531,1003,550
1,0,1,510,1000,550
1,0,1,525,1006,550
1,0,1,555,1005,550
1,0,1,510,1011,550
1,0,1,555,1010,550
1,0,1,540,1015,550
1,0,0,712,1020,550
1,0,0,991,1016,550
1,0,0,984,1015,550
1,0,0,983,1013,550
1,0,1,979,1013,550
1,0,1,528,1014,550
1,0,1,548,1017,550
1,0,1,515,1021,550
1,0,1,544,1126,550
1,0,1,514,1027,550
1,0,1,537,1039,550
1,0,1,548,1032,550
1,0,1,525,1039,550
1,0,1,558,1037,550
1,0,1,541,1042,550
1,0,1,559,1042,550
1,0,1,506,1047,550
1,0,1,558,1047,550
1,0,1,504,1052,550
1,0,1,550,1052,550
1,0,0,706,1062,550
1,0,0,991,1056,550
1,0,0,983,1055,550
1,0,0,979,1054,550
1,0,1,962,1049,550
1,0,1,526,1059,550
1,0,1,512,1060,550
1,0,1,545,1165,550
1,0,1,538,1065,550
1,0,1,562,1108,550
1,0,1,554,1071,550
1,0,1,529,1076,550
1,0,1,561,1076,550
1,0,1,517,1080,550
1,0,1,546,1080,550
1,0,1,508,1085,550
1,0,1,562,1085,550
1,0,1,506,1089,550
1,0,1,555,1089,550
1,0,1,528,1094,550
1,0,0,726,1101,550
1,0,0,992,1097,550
1,0,0,985,1095,550
1,0,0,980,1093,550
1,0,1,979,1091,550
1,0,1,555,1094,550
1,0,1,545,1197,550
1,0,1,542,1102,550
1,0,1,538,1109,550
1,0,1,505,1107,550
1,0,1,521,1112,550
1,0,1,564,1112,550
1,0,1,509,1117,550
1,0,1,563,1117,550
1,0,1,529,1120,550
1,0,1,559,1121,550
1,0,1,521,1126,550
1,0,1,551,1224,550
1,0,1,543,1130,550
1,0,1,564,1171,550
1,0,0,688,1139,550
1,0,0,992,1135,550
1,0,0,983,1134,550
1,0,0,980,1132,550
1,0,1,980,1140,550
1,0,1,504,1134,550
1,0,1,560,1136,550
1,0,1,530,1143,550
1,0,1,568,1143,550
1,0,1,558,1148,550
1,0,1,567,1148,550
1,0,1,507,1152,550
1,0,1,569,1153,550
1,0,1,512,1159,550
1,0,1,561,1158,550
1,0,1,506,1162,550
1,0,1,561,1164,550
1,0,1,523,1166,550
1,0,1,557,1289,550
1,0,1,526,1172,550
1,0,0,734,1179,550
1,0,0,989,1174,550
1,0,0,980,1172,550
1,0,0,980,1172,550
1,0,1,981,1170,550
1,0,1,555,1173,550
1,0,1,551,1271,550
1,0,1,548,1179,550
1,0,1,544,1186,550
1,0,1,509,1185,550
1,0,1,532,1189,550
1,0,1,571,1189,550
1,0,1,524,1194,550
1,0,1,573,1193,550
1,0,1,539,1198,550
1,0,1,572,1198,550
1,0,1,512,1203,550
1,0,1,565,1203,550
1,0,1,523,1207,550
1,0,1,572,1209,550
1,0,0,704,1215,550
1,0,0,990,1211,550
1,0,0,985,1209,550
1,0,0,980,1207,550
1,0,1,914,1202,550
1,0,1,513,1211,550
1,0,1,559,1213,550
1,0,1,537,1220,550
1,0,1,573,1218,550
1,0,1,568,1224,550
1,0,1,574,1224,550
1,0,1,520,1228,550
1,0,1,574,1228,550
1,0,1,511,1233,550
1,0,1,575,1365,550
1,0,1,517,1238,550
1,0,1,562,1356,550
1,0,1,536,1241,550
1,0,1,552,1260,550
1,0,1,518,1247,550
1,0,0,740,1254,550
1,0,0,995,1248,550
1,0,0,985,1247,550
1,0,0,979,1246,550
1,0,1,978,1244,550
1,0,1,568,1246,550
1,0,1,544,1256,550
1,0,1,572,1254,550
1,0,1,535,1259,550
