V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.236366,0.06522271199999999,0.029350220399999995,1.4427379999999999,0.0020814929366439997,1000,38500,850,250
0.45,0.24804939999999998,0.061677062000000005,0.027754677900000004,1.2134099999999999,0.0014723638280999998,1000,39000,800,250
0.45,0.24807420000000002,0.061664984,0.0277492428,1.213498,0.0014725773960039999,1000,39000,810,250
0.45,0.24286639999999998,0.06324458599999999,0.028460063699999996,1.319852,0.0017420093019040002,1000,39000,820,250
0.45,0.2428746,0.06324700200000001,0.028461150900000006,1.319776,0.0017418086901760002,1000,39000,830,250
0.45,0.23637640000000001,0.06520741199999999,0.029343335399999997,1.443902,0.0020848529856039998,1000,39000,840,250
0.45,0.236346,0.06522270999999999,0.029350219499999997,1.443692,0.0020842465908639998,1000,39000,850,250
0.45,0.24968620000000002,0.06117629,0.0275293305,1.2007480000000001,0.0014417957595040003,1000,39500,800,250
0.45,0.2446308,0.062718048,0.0282231216,1.306354,0.001706560773316,1000,39500,810,250
0.45,0.2446162,0.06272770799999998,0.028227468599999993,1.3060579999999997,0.0017057874993639992,1000,39500,820,250
0.45,0.2381998,0.06464787000000001,0.029091541500000005,1.430486,0.0020462901961959996,1000,39500,830,250
0.45,0.238185,0.06465592,0.029095164000000003,1.4302700000000002,0.0020456722729000005,1000,39500,840,250
0.45,0.2296432,0.067257192,0.030265736399999996,1.5701019999999999,0.0024652202904039996,1000,39500,850,250
0.45,0.24966,0.06117629,0.0275293305,1.200642,0.0014415412121639999,1000,40000,800,250
0.45,0.24460600000000002,0.06271241399999998,0.028220586299999992,1.30734,0.0017091378756,1000,40000,810,250
0.45,0.2445916,0.062712412,0.028220585399999998,1.307164,0.001708677722896,1000,40000,820,250
0.45,0.23820300000000003,0.06465108400000001,0.029092987800000004,1.431624,0.002049547277376,1000,40000,830,250
0.45,0.23818620000000004,0.064660748,0.029097336600000002,1.430154,0.0020453404637159997,1000,40000,840,250
0.45,0.2296334,0.067270882,0.0302718969,1.571418,0.002469354530724,1000,40000,850,250
